TYPE,CURRENCY,TIME_INTERVAL,AMOUNT_high_val_cust,AMOUNT_low_val_cust,AMOUNT_mid_val_cust,AMOUNT_occasional_cust,CREATED_DATE_high_val_cust,CREATED_DATE_low_val_cust,CREATED_DATE_mid_val_cust,CREATED_DATE_occasional_cust,USER_ID_high_val_cust,USER_ID_low_val_cust,USER_ID_mid_val_cust,USER_ID_occasional_cust
ATM,EUR,0-3,3993.6800000000003,2682.42,4594.04,13.18,27,13,27,1,22,13,23,1
ATM,EUR,3-6,5122.66,2573.1,4629.41,398.28,33,11,30,3,26,11,28,3
ATM,EUR,6-9,9652.83,6108.63,10174.02,2034.18,56,31,50,17,42,29,46,17
ATM,EUR,9-12,13212.29,7939.07,10798.52,1486.95,73,45,60,12,41,43,51,12
ATM,EUR,12-15,15288.31,5340.9400000000005,16508.48,1085.13,86,31,94,10,52,29,76,10
ATM,EUR,15-18,16855.21,7931.05,18068.44,1739.38,91,38,98,17,45,38,83,16
ATM,EUR,18-21,10252.66,4935.94,10434.42,2350.25,50,32,53,21,36,31,47,17
ATM,EUR,21-24,5899.08,2542.77,4352.92,515.4,29,17,27,4,23,17,24,3
BANK_TRANSFER,EUR,0-3,5993.45,1860.75,3906.09,818.96,32,12,22,5,23,12,22,5
BANK_TRANSFER,EUR,3-6,5190.21,1064.29,4051.42,362.82,31,7,24,2,22,7,23,2
BANK_TRANSFER,EUR,6-9,9187.6,3183.84,11757.369999999999,1232.8700000000001,56,19,69,12,44,19,64,10
BANK_TRANSFER,EUR,9-12,18045.41,5646.4800000000005,11401.21,2382.77,102,37,68,15,57,36,62,13
BANK_TRANSFER,EUR,12-15,16954.21,5406.99,12159.91,2166.8,92,31,67,19,56,29,55,19
BANK_TRANSFER,EUR,15-18,13157.68,8177.89,12344.66,2646.04,72,43,72,18,45,42,67,16
BANK_TRANSFER,EUR,18-21,11473.32,6205.34,9271.1,1584.32,60,36,49,12,41,34,45,12
BANK_TRANSFER,EUR,21-24,5405.61,1709.31,3222.1,1326.48,34,7,18,9,28,7,16,8
CARD_PAYMENT,EUR,0-3,4762.97,2292.4,5587.92,0.0,27,10,31,0,23,9,27,0
CARD_PAYMENT,EUR,3-6,4604.96,1718.38,6445.92,161.55,26,10,35,2,19,10,28,2
CARD_PAYMENT,EUR,6-9,10474.61,4146.74,8880.21,1504.54,58,24,49,10,38,24,44,10
CARD_PAYMENT,EUR,9-12,12991.86,6705.95,13569.52,2452.69,67,38,71,16,48,34,67,14
CARD_PAYMENT,EUR,12-15,17248.7,6887.3,11705.27,1417.45,93,42,67,13,61,39,54,12
CARD_PAYMENT,EUR,15-18,12429.09,7827.2699999999995,14308.7,3254.1,69,40,74,22,47,40,62,20
CARD_PAYMENT,EUR,18-21,12075.25,4895.87,12972.77,1803.68,62,24,67,13,38,23,58,13
CARD_PAYMENT,EUR,21-24,5367.81,2424.21,4412.64,43.46,26,11,26,1,22,11,24,1
P2P_TRANSFER,EUR,0-3,249.69,0.0,202.96,87.26,1,0,2,1,1,0,2,1
P2P_TRANSFER,EUR,3-6,270.47,0.0,0.0,0.0,3,0,0,0,3,0,0,0
P2P_TRANSFER,EUR,6-9,1539.77,238.14,2319.67,95.11,7,1,9,2,6,1,8,2
P2P_TRANSFER,EUR,9-12,772.6400000000001,445.77,1496.35,409.99,3,3,8,2,3,3,8,2
P2P_TRANSFER,EUR,12-15,1572.99,716.04,1318.8,363.70000000000005,8,3,6,2,8,3,6,2
P2P_TRANSFER,EUR,15-18,633.5699999999999,775.4,2029.66,81.66,5,4,9,1,4,4,9,1
P2P_TRANSFER,EUR,18-21,898.95,26.65,1530.7,99.13,4,1,7,1,4,1,7,1
P2P_TRANSFER,EUR,21-24,556.4,0.0,275.37,74.38,4,0,3,1,4,0,3,1
TOPUP,EUR,0-3,5709.49,1465.02,5419.55,537.53,33,9,33,4,26,9,29,4
TOPUP,EUR,3-6,4832.58,1984.47,4705.76,672.4399999999999,27,10,33,5,22,9,31,4
TOPUP,EUR,6-9,10626.15,3446.38,7325.94,1615.28,62,21,46,11,41,20,43,10
TOPUP,EUR,9-12,12998.03,6443.31,11983.62,1752.03,77,42,66,16,45,37,59,16
TOPUP,EUR,12-15,15524.7,6046.6,17334.2,1325.6399999999999,84,33,98,13,54,32,82,13
TOPUP,EUR,15-18,15083.29,7729.31,9353.89,3062.33,78,46,63,22,51,41,52,19
TOPUP,EUR,18-21,10445.05,6109.32,9818.15,1873.8600000000001,58,37,55,19,39,36,51,18
TOPUP,EUR,21-24,4230.79,2439.15,6731.43,511.89,27,13,35,4,25,13,33,4
